title,rating
Dragon Warrior,4.26
Alexander Hamilton,4.21
The Miracle,3.61
Top Secret,3.96
Dead Soul,4.29
Howards End,3.95
Humiliation,3.77
The Pretender's Gambit,3.9
Reflections from the North Country,4.23
Bastard,4.51
Korval's Game,4.55
The Wrong Girl,3.54
Catch Me If You Can: The True Story of a Real Fake,4.06
Extraordinary Tales,4.18
Dicey's Song,3.97
Holding the Cards,3.74
Alphas,3.72
The Clue of the Tapping Heels,3.87
Ray of Sunlight,4.23
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre,4.31
Lucky Starr and the Oceans of Venus,3.65
The Fall and Rise of Reginald Perrin,3.97
P.S. I Love You,4.02
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,4.47
Metamagical Themas: Questing for the Essence of Mind and Pattern,4.19
Queers,4.3
The Gormenghast Novels,3.99
"The Legend of Drizzt Boxed Set, Books 11-13",4.59
The Divine Secrets of the Whoopie Pie Sisters 2,4.38
The Joke's Over: Ralph Steadman on Hunter S. Thompson,3.88
Ana's Story: A Journey of Hope,3.71
Tender Morsels,3.57
Song of the Slums,3.69
Other Words for Home,4.44
Bubbles and Billy Sandwalker,4.5
Air,3.6
New Moon,3.54
Five Miles,4.27
A Twisted Fate,4.0
The Off Series Boxed Set: Books 1-5,4.36
The Anatomy of Dependence,3.75
Law Man,4.32
Death's Excellent Vacation,3.71
One with You,4.11
Beneath a Scarlet Sky,4.4
After the Fear,3.77
Love and Logic Magic for Early Childhood,4.13
The Burning Times,3.59
Catch My Breath,3.82
Bitch Alert!,2.57
Deeds Darkly Done,4.66
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",4.21
Towards a Poor Theatre,4.25
The Beekeeper's Apprentice,4.06
The Little White Bird,3.89
Temple of the Winds,4.01
Don't Blink,3.81
The Madwoman in the Attic: The Woman Writer and the Nineteenth-Century Literary Imagination,4.2
In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,3.9
Lauren Conrad Style,3.99
More Than Human,3.97
"Prisoner without a Name, Cell without a Number",3.91
The Scions of Shannara,3.99
The Long Gray Line: The American Journey of West Point's Class of 1966,4.25
Chasing Beautiful,3.94
Destiny,3.91
Hope As Old As Fire,4.8
List Your Self: Listmaking as the Way to Self-Discovery,3.72
Immortal Eclipse,3.84
"Rapture of the Deep: Being an Account of the Further Adventures of Jacky Faber, Soldier, Sailor, Mermaid, Spy",4.26
Why We Broke Up,3.47
Crime Never Pays (10 Short Crime Stories),4.0
The Foremost Good Fortune,3.65
Have a Nice Day!: A Tale of Blood and Sweatsocks,4.33
Here,3.71
Inspire,3.79
Origins: Fourteen Billion Years of Cosmic Evolution,4.15
A Game of You,4.43
The Fraternity of the Stone,4.16
The Forest of Hours,3.9
On the Outside Looking Indian: How My Second Childhood Changed My Life,3.3
The Day the Crayons Quit,4.42
Never the Bride,3.84
Kindness Goes Unpunished,4.21
A Heart Like Jesus,4.35
Code of Honor,4.32
"Neon Genesis Evangelion, Vol. 3",4.23
No Angel,3.7
Rootabaga Stories,4.11
How Markets Fail: The Logic of Economic Calamities,4.05
Three Hearts and Three Lions,3.87
The Innocent Mage,3.66
Miss Marple Omnibus Vol 1 (Body in the Library / Moving Finger / Murder is Announced / 4:50 from Paddington),4.34
The Lover's Dictionary,3.88
Forbidden Nights with a Vampire,4.26
"Pilgrim's Progress, Part 2: Christiana",4.06
I Do (But I Don't),3.69
Poem Strip,3.83
A People's History of American Empire,4.14
Aurora Sky,3.73
The Queen's Blade,3.92
Coming Through the Rye,4.08
"Forever, Christian",4.5
Children's Songbook,4.72
Reminiscences Of The Nehru Age,3.7
Stealing the Moon: A Woman's Quest to Heal the Shadow Self,4.87
Ultimate Justice,3.78
Him and Me,4.34
The Portable Dorothy Parker,4.34
LOVE ISN'T FOR COWARDS: Just Let Love Be,4.17
Double Dare,3.68
The English: A Portrait of a People,3.57
"The Avian Gospels, Book I",3.9
The Cross of Lead,3.62
The Screaming Codpiece,3.79
A Snicker of Magic,4.09
The Glass Palace,3.97
Intuition,4.27
The Radiant Way,3.76
Turn of Mind,3.65
Unite Me,4.18
Among the Hidden,3.98
The Only Girl in the World,3.74
Lean Six SIGMA Statistics: Calculating Process Efficiencies in Transactional Project,4.2
Apocalypse: The Lords of Deliverance Compendium,4.03
Narcissus and Goldmund,4.21
The Final Hour,4.26
The Common Reader,4.17
Survival in the Storm: The Dust Bowl Diary of Grace Edwards,3.93
Autobiography of a Spiritually Incorrect Mystic,4.29
The Jewel Tree of Tibet: The Enlightenment Engine of Tibetan Buddhism,4.21
Ever Yours: The Essential Letters,4.43
The Real America: Messages from the Heart and Heartland,3.72
Kendrick,4.02
Underestimated,3.97
The Forest of Hands and Teeth,3.59
The Greek Myths: 2,4.23
The Snow Queen,3.74
Selected Poetry,4.23
Stuck in the Game,3.83
Back to the Hood,4.48
"Kingdom Hearts, Vol. 2",4.1
The Gift,4.17
Family Jewels: A Guide to Male Genital Play and Torment,3.91
Happily Ever After,3.88
The Grave Tattoo,3.66
"Love, Aubrey",4.21
Hexed,4.22
The Ugly American,4.02
In the Blink of an Eye: A Perspective on Film Editing,4.24
The Wedding Feast,3.03
Ducktales: The Secret City Under the Sea,3.68
Promise at Dawn,4.29
Star by Star,3.95
"The Maltese Falcon, The Thin Man, Red Harvest",4.31
Children of the Dark,3.91
The Wish Stealers,3.9
The Collected Poems of Stanley Kunitz,4.27
Mummy the Curse,3.68
The Death of Faith,3.92
The Illumination of Ursula Flight,4.03
Half Moon Bay,3.87
Just One Drop,4.47
"The Night's Dawn Trilogy: The Reality Dysfunction, The Neutronium Alchemist, and The Naked God",4.65
The DUFF: Designated Ugly Fat Friend,3.82
The Man in My Basement,3.67
The Snowy Day,4.16
Our Daily Meds: How the Pharmaceutical Companies Transformed Themselves Into Slick Marketing Machines and Hooked the Nation on Prescription Drugs,4.09
This Side of Heaven,4.35
Resisting Temptation,4.54
I Was Hitler's Chauffeur : The Memoir of Erich Kempka,3.35
Angelic,3.93
Blue Tide,3.72
Rebellion,4.05
First Blood,4.0
Redwall,4.11
Megiddo's Shadow,4.08
The Second Jungle Book,3.82
Close Your Eyes and See,5.0
John Caldigate,3.86
Water Falls Down,3.96
Behind Her Eyes,3.76
Grave Surprise,3.89
Three Against Hitler,4.15
Five Have Plenty of Fun,3.97
Unbowed,4.1
Looking for Me,3.91
"Collected Poems, 1909-1962",4.29
I Been in Sorrow's Kitchen and Licked Out All the Pots,4.11
Best Thing in Life is a Friend,3.92
"Daredevil, Volume 2",4.08
Realm of the Northern Castle,5.0
Lost In Translation: Misadventures in English Abroad,3.41
No Highway,3.95
E Pluribus Unicorn,4.03
The Creatures That Time Forgot,4.18
The Mulligan,4.03
"Your Family, God's Way: Developing & Sustaining Relationships in the Home",3.83
Kintu,4.14
Without a Front: The Warrior’s Challenge,4.57
Turned On: Decorative Lamps Of The Fifties,3.75
"We Are Quiet, We Are Loud: The Best Young Writers and Artists In America",4.09
The Mystery of the Strange Messages,4.05
The A to Z of Hate Groups: And Their Corporate Sponsors,0.0
The Voice Of One Crying,4.39
A Bad Case of Stripes,4.25
Illuminati Council and Modern Illuminism,3.89
The Adventure of the Golden Pince-Nez,3.67
The Poems of Dylan Thomas,4.3
The Other Side of the Bridge,4.05
A Season in Purgatory,4.1
Thursdays in the Park,3.6
"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",4.35
The First Phone Call from Heaven,3.75
Mrs. Jeffries and the Yuletide Weddings,4.05
Sign of the Moon,4.37
Olivia Kidney and the Secret Beneath the City,3.94
Surfacing,3.45
Friends and Traitors,4.21
Changeling Moon,3.72
When Lightning Strikes,3.57
The Infernal Desire Machines of Doctor Hoffman,3.78
What the Dog Said,4.09
The Memory of Lost Dreams,3.52
Natasha's Dance: A Cultural History of Russia,4.2
We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,4.32
An Affair Before Christmas,3.58
Zot!: The Complete Black-and-White Collection: 1987-1991,4.03
"The Americans: A Social History of the United States, 1587-1914",4.33
"Flooded (Beautiful but Strange, #1)",4.36
Raintree County,3.95
Midnight Bayou,3.98
Fever City,3.43
Amy & Roger's Epic Detour,4.0
Sons of Liberty,3.78
Frankenstein: The 1818 Text,3.81
A Spring Harvest,4.01
The Care and Feeding of Stray Vampires,3.99
Mai Tai'd Up,4.04
The Last Word,3.97
Sinner,3.9
"The Muslim Next Door: The Qurʼan, the Media, and That Veil Thing",3.7
Backlash,4.41
Julius Caesar,3.69
Sing You Home,3.78
The Heir,3.77
An Old-Fashioned Girl,4.07
SkyClan's Destiny,4.34
Evolution for Everyone: How Darwin's Theory Can Change the Way We Think About Our Lives,3.92
Empire of the Senseless,3.5
Inkdeath,3.93
My Blood Approves,3.82
Button Goes to Hollywood,3.33
The Famished Road,3.73
Drop Out,4.03
The Million Dollar Divorce,4.34
Foundation,4.02
The Graduation of Jake Moon,4.0
War Storm,3.88
The Matador's Crown,3.68
The Blind Assassin,3.95
Chasing Perfect,3.9
Bond of Fire,3.63
The Unexpected Warrior: an Ace Stone adventure #1,4.92
Love Part 2,5.0
Purpose for the Pain,4.24
From Fear to Faith: A Worrier's Guide to Discovering Peace,4.32
Wooden: A Lifetime of Observations and Reflections On and Off the Court,4.46
Journey to Ixtlan,4.08
Home Improvement: Undead Edition,3.65
The Dark Province: Son of Duprin,4.09
A World Lost,4.11
Levant Fever: True Stories from Syria's Underground,3.88
Lilith,3.9
An Inspector Calls and Other Plays,3.93
Deep Six,3.9
Conan the Adventurer,4.07
Sita: Warrior of Mithila,3.97
The Essential Jung: Selected Writings,4.33
"Safe Area Goražde: The War in Eastern Bosnia, 1992-1995",4.29
Walking Disaster,4.2
Quest in the Caribbean: A True Caribbean Sailing Adventure,4.32
The Art of Inuyasha,4.4
Louis Armstrong: An Extravagant Life,4.17
Angel in the Ice,4.11
Someone's Story,4.22
The Complete Poems of Henry Wadsworth Longfellow,4.21
A Natural History of the Senses,4.16
Apollyon,3.98
The Reckoning,4.24
The Robinson Family Omnibus,4.08
The Thief,4.26
"L.A. Son: My Life, My City, My Food",3.93
"I, Juan de Pareja",3.74
A Piece of Cake,4.2
Archangel,3.8
Foreign Affairs,3.74
The Iron-Jawed Boy and the Hand of the Moon,4.46
Undead and Unreturnable,3.88
Fancy Nancy: Sees Stars,4.05
Thanks for the Trouble,3.88
How to Analyze People on Sight,3.25
The Kingdom of Matthias: A Story of Sex and Salvation in 19th-Century America,3.67
Juniper Lemon's Happiness Index,3.84
The Caphenon,4.46
The Prefect,4.17
Innumeracy: Mathematical Illiteracy and Its Consequences,3.8
"Neurobiology of “We,” The: How Relationships, the Mind, and the Brain Interact to Shape Who We Are",4.28
The Rogue,4.03
Behind the Curtain,3.9
America: What Went Wrong?,4.02
The Betrayer,4.49
The Closers,4.14
Eternal Journey,3.73
Oracle,3.94
Slade,4.22
Prey,3.98
Angel's Flight,4.52
Illumine,3.62
Fool Me Once,3.93
The Black River Chronicles: Level One,4.0
Special Forces - Soldiers,4.41
The Warrior Who Carried Life,3.55
Once Upon a Crime,4.27
Stolen Donor,3.77
Esther the Queen,4.24
Norwegian Wood,4.03
"The Hobbit, or There and Back Again",4.27
"Hana-Kimi: For You in Full Blossom, Vol. 8",4.35
The Last Legends of Earth,4.15
Embrace,4.25
The Trouble With Witches,3.96
Saturdays Are Gold,4.28
Do Yourself a Favor...Forgive: Learn How to Take Control of Your Life Through Forgiveness,4.41
The Wednesday Wars,4.09
The Bataille Reader,4.18
The Wind on Fire Trilogy: The Wind Singer/Slaves of the Mastery/Firesong,4.35
My Fair Godmother,3.92
Nervous,4.42
Hunted,4.07
Rose Daughter,3.77
Dairy Queen,3.74
Front and Center,3.95
The Girl with the Hazel Eyes,4.06
Eve of Chaos,4.01
Evernight,3.64
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",4.09
Impermanence,4.05
Life and times of the Messengers,4.52
The Difference Engine,3.44
Cheater Pants,4.04
The Golden Name Day,4.17
Snow White Blood Red,3.77
All Hallows' Moon,3.97
Wicked Saints,3.7
All Through the Night,3.82
The Husky That Can't Howl,4.4
The Telling Of Lies,3.72
Creatures of Light and Darkness,3.98
Security Analysis: Principles and Technique,4.34
A Vindication of the Rights of Woman,3.89
Naïve. Super,3.87
The Gravity of Us,4.4
Catbug: If I Had Some Hoverpants,4.04
The Moon and Sixpence,4.14
Liberty and Tyranny: A Conservative Manifesto,4.17
"Chobits, Vol. 7",4.15
Tower Lord,4.17
The Butterfly Project,4.41
On Beauty,3.74
The Fall of Arthur,3.81
Flight,3.93
Paying for His Mistakes,4.11
Mansfield Park,3.86
Immortal Rider,4.31
Horrid Henry Wakes The Dead,4.04
The Age of Innocence,3.95
Devices and Desires,3.71
Breath of Magic,3.9
The Romance of the Forest,3.47
A Trail of Echoes,4.48
"The Morganville Vampires, Volume 2",4.43
Hijos del vampiro,3.93
The Cherry Pit,3.54
Eleven Minutes,3.7
Planet X,3.84
"Future Lovers, Vol. 2",4.28
Bad Kitty,4.2
The Brutal Telling,4.23
Courting Magic,4.16
Dark Horse,3.96
Oh-So-Sensible Secretary,3.82
Missoula: Rape and the Justice System in a College Town,4.08
Good,3.82
Eve,4.1
"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",3.86
The Age of Turbulence: Adventures in a New World,3.62
Robotech: The Macross Saga: Doomsday,4.16
Geek Girl,3.94
Always in My Heart,4.02
The History of White People,4.03
Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,4.21
Scrappy Little Nobody,3.88
The Snow Child,3.98
The Waste Land,4.11
Somebody's Sinning In My Bed,3.89
"Scripture Alone: Exploring the Bible's Accuracy, Authority, and Authenticity",4.24
In Your Own Backyard: How to Create and Enjoy Your Own Private Retreat,4.5
The Penelopiad,3.71
Brooklyn NY: A Grim Retrospective: A Memoir,3.59
Something Like Winter,4.37
The Clock of Life,4.24
The Three Pigs,4.16
Last Call,4.07
Companions of the Night,3.77
Pulse - Part One,3.94
Cowgirls Don't Cry,4.25
Lucky's Lady,3.95
To Be the Best,4.07
Our Town,3.67
My Swordhand is Singing,3.64
Communism: A History,3.78
Star Cursed,4.12
A Wild Surge of Guilty Passion,3.34
Ensnared by Destiny,3.71
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.99
Sex Love Repeat,3.95
The Ruling Class,2.97
Almost Transparent Blue,3.26
Collapse of Complex Societies,4.15
New York,4.13
The Zombie Chronicles,3.52
The Devil's Fool,3.89
Caesar and Christ,4.39
The Client,4.02
Heroes,3.43
Decision Points,3.79
Independent Study,3.97
The Greek Myths: 1,4.07
The Second Coming,3.95
Untouchable,3.52
Resistance,4.48
Gates of Paradise,4.08
A Mathematician's Lament: How School Cheats Us Out of Our Most Fascinating and Imaginative Art Form,4.17
The Summer Tree,3.98
Rain of Gold,4.48
Feminism is for Everybody: Passionate Politics,4.13
Icarus and Other Poems,4.23
The Secret Hour,3.81
The Changeling,4.17
The Cure for Death by Lightning,3.69
Coming Attractions,4.47
Venetia,4.1
The Truth About Forever,4.12
Chain Mail: Addicted to You,3.83
Demon in My View,4.03
Regenesis,4.01
Structured Computer Organization,3.96
Aunt Dimity's Death,3.94
Keys to the Demon Prison,4.44
A Mercy,3.71
Against The Tide,3.95
House of Illusions,4.14
"The Spiritual Exercises of ECK: Your Doorway to Wisdom, Freedom, and Love",4.4
Logan,4.29
Project Terror,4.2
Raven Calls,4.17
Be Steadfast,4.43
The Queen and I,3.73
How to Read Proverbs,3.98
Following the Equator: A Journey Around the World,3.96
Betsy's Wedding,4.32
Subjugation,4.3
The Moon and the Bonfire,3.79
Harriet Tubman: The Life and the Life Stories,3.85
Doctor Who: The Ancestor Cell,3.73
"Hellboy, Vol. 6: Strange Places",4.29
It's Called a Breakup Because It's Broken: The Smart Girl's Break-Up Buddy,4.02
Reckless,3.91
While We're Far Apart,4.18
Can You See Me?,4.42
Resurrection Men,4.03
A Passion Redeemed,4.15
The Trouble with Mr. Darcy,3.95
Switched,3.86
Stranger,3.68
Edge of the Enforcer,4.39
Preacher Dom,4.34
Parasite Rex: Inside the Bizarre World of Nature's Most Dangerous Creatures,4.2
The Secret War with Iran: The 30-Year Clandestine Struggle Against the World's Most Dangerous Terrorist Power,3.78
Jo's Boys,3.82
The Devil Wears Plaid,3.87
Falling In Love With Her Husband,3.84
Dead Is Just A Rumor,4.24
Feynman,3.86
The People's Apocalypse,4.32
Greta and the Goblin King,3.59
The Genesis,3.68
The Longest Winter,4.25
Pentimento,3.57
Armageddon in Retrospect: And Other New and Unpublished Writings on War and Peace,3.94
Doctor Who: Nightshade,3.77
Shadow of Cain: A Novel,3.43
The Collected Stories,4.23
Orbit,3.78
Her Royal Spyness,3.78
Selected Satires of Lucian,4.07
Castle Hill,4.19
Blood Games,4.23
The Life of Charlotte Brontë,3.86
We Have This Moment,4.04
Storm Glass,3.95
The Lady Waved Good-Bye: A Ramon Lull Lopez Mystery,5.0
Kiss of Death,4.21
The Edge of Darkness,4.09
Nothing Strikes Back!,3.77
Shiva's Fire,3.98
Prince of Hearts,3.84
Living With IT: A Survivor's Guide to Panic Attacks,4.04
Death Comes for the Archbishop,3.91
Envy,3.9
Sapphique,3.7
King Ottokar's Sceptre,4.02
Haunted Moon,4.18
A History of Pagan Europe,3.77
The Garden of the Finzi-Continis,3.82
Cat Among the Pigeons,4.2
Lords of Finance: The Bankers Who Broke the World,4.02
The Twits,3.97
A Spark of Light,3.7
251 Things to Do in Tofino: And it is NOT just about Surfing,4.79
"Nocturne, Opus 1: Sea Foam",3.83
The Plumed Serpent,3.33
The Woman Who Walked Into Doors,3.84
Malgudi Days,4.21
The Iron King,4.03
Blue is for Nightmares,3.82
Hunting for Hidden Gold,3.91
A Season for Fireflies,3.5
"No god but God: The Origins, Evolution and Future of Islam",4.1
The Fourth Hand,3.31
Truckers,3.92
The Upside of Unrequited,3.95
Crimson Rivers,4.17
Mia's Baker's Dozen,4.33
Satantango,4.11
Dance of Thieves,4.27
The Captive Part II / The Power,4.11
The Midnight Guardian,3.39
Eternity in Death,4.24
Akiko and the Journey to Toog,4.1
A Dozen Black Roses,3.95
Mirage,4.25
Wetware,3.81
The Vision,4.15
Phantom,3.94
Fifty Shades of Alice Through the Looking Glass,3.51
The Medusa and the Snail: More Notes of a Biology Watcher,4.1
The Sands of Ammon,4.12
When Things Fall Apart: Heart Advice for Difficult Times,4.29
The Girl He Used to Know,3.96
No Shame in My Game: The Working Poor in the Inner City,3.73
The Revolt of the Masses,4.05
The Story of Tracy Beaker,3.74
The Sentinel,3.96
Mackenzie's Pleasure,4.13
Revenge of the Spellmans,4.14
Bad Feminist,3.94
Waterland,3.92
Infernal Father of Mine,4.19
"The Unwritten, Vol. 1: Tommy Taylor and the Bogus Identity",3.74
Haymarket,3.66
Eighty Days Yellow,2.92
Destiny Binds,3.98
The Bell at Sealey Head,3.99
Game Over,3.41
The Simple Art of Flying,4.12
The Wishing Chair Collection,4.32
Magic Hour,4.12
Ambiguous Adventure,3.65
The Phantom King,4.19
Hot Number,4.05
Darkhouse,3.79
A Brief History of Time,4.18
The Redemption,4.14
A Sudden Light,3.62
The Wheel of Darkness,3.93
A World Without You,3.73
The Haunting of Sunshine Girl,3.9
You Are Next,3.81
When the Bough Breaks,4.03
Hanson: The Official Book,4.3
A Promise of Fire,4.08
How Music Works,3.96
In Grandma's Attic,4.15
The Kitáb-i-Íqán: The Book of Certitude,4.67
The Meaning of Human Existence,3.79
Earth Flight,4.29
The Deptford Trilogy: Fifth Business/The Manticore/World of Wonders,4.32
Cleopatra: A Life,3.69
RoseBlood,3.37
A World Without Princes,4.07
The Collector of Hearts: New Tales of the Grotesque,3.77
Ghost Talkers,3.85
Boost,4.04
Yellow Woman and a Beauty of the Spirit,3.98
Say Nothing: A True Story of Murder and Memory in Northern Ireland,4.42
Lone Bull's Mistake; A Lodge Pole Chief Story,4.45
Mapp and Lucia,4.24
A Drop in the Ocean,4.17
Animae - l'Intégrale,4.5
A Secret Gift: How One Man's Kindness & a Trove of Letters Revealed the Hidden History of the Great Depression,3.58
Chain Letter,3.64
Old Magic,3.93
Reap the Shadows,4.36
100 Greatest Cycling Climbs: A Road Cyclist's Guide To Britain's Hills,3.97
"Desire & Decorum, Book 2 (Desire & Decorum, #2)",4.12
The Seahorse Legacy,4.64
Travis,4.37
Are You in the House Alone?,3.52
Spy School,4.22
The Rope Trick,3.73
The Teacher's Funeral: A Comedy in Three Parts,3.87
"MeruPuri, Vol. 2",4.25
The Rising,3.79
Sometimes Never,3.93
The Magic Toyshop,3.85
Last Chance Christmas,4.05
Chris Van Allsburg's Polar Express,4.38
The Beck Diet Solution,3.91
The Lost Days,3.9
City of Ghosts,4.22
Cuckold,4.16
Amphigorey Also,4.4
"Your Husband, My Man 2",4.37
Don't Cry for Me,4.23
Wolf Unbound,4.11
Jack the Ripper: The Casebook,4.13
Kiss and Make Up,3.97
Dragonfly in Amber,4.32
"Not Paul, But Jesus",3.5
Silver Angel,3.88
Effortless,4.36
The Book of Love: Poems of Ecstasy and Longing,4.31
Myra Breckenridge/Myron,3.71
Escorted,3.92
Bones of the Hills,4.35
The Beautiful Creatures Complete Collection,4.21
Virgin,3.8
Fade,3.94
The Mane Attraction,4.27
The Hand of Chaos,4.07
"Jesus: Uncovering the Life, Teachings, and Relevance of a Religious Revolutionary",4.21
"Chrono Crusade, Vol. 6",4.25
Doctor Who: Trading Futures,3.51
The Man Who Had All the Luck,3.72
The Mysterious Case of the Allbright Academy,4.03
Every Patient Tells a Story: Medical Mysteries and the Art of Diagnosis,3.95
The Lightning Should Have Fallen on Ghalib: Selected Poems,4.2
First Love,3.78
Protector,3.64
Psalm 44,3.98
Honest Illusions,4.02
America's Real War,4.02
Hugo Pepper,4.07
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,4.0
Red Dwarf Omnibus: Infinity Welcomes Careful Drivers & Better Than Life,4.34
Glitter and Gunfire,3.98
Jellybean the Dragon,4.89
The One Minute Millionaire: The Enlightened Way to Wealth,4.03
Sloop of War,4.14
Guide to The Hunger Games,4.34
Once Were Warriors,3.96
Wedding Night,3.43
Huckleberry Christmas,4.38
Beauty for Ashes: Receiving Emotional Healing,4.47
The Mistress,4.49
Burning For Revenge,4.19
English Passengers,4.07
The Pleasure of My Company,3.79
Mermaid Mayhem,4.17
The Year I Met August,3.42
Hawk's Gift,4.17
Hooligans,3.94
Pretty Persuasion,3.36
Cryer's Cross,3.73
Rule of the Bone,3.88
An Area of Darkness,3.67
Sheep Manual: The complete step-by-step guide to caring for your flock,4.8
Little Bee,3.72
Black Sheep,4.05
The Evil We Love,4.09
To Beguile a Beast,4.03
The Solitaire Mystery,4.17
Finding Ava,3.83
"The American Night: The Lost Writings, Vol. 2",3.97
Absurdistan,3.31
The Emperor,4.28
The Mis-Education of the Negro,4.48
King Cave,4.39
The Eagle and the Raven,4.17
Seducing the Myth,4.0
The Last Little Blue Envelope,3.85
Love You to Death: The Unofficial Companion to the Vampire Diaries,4.41
Purpose,4.21
Possession,3.59
Confessions of an Alli Cat,4.0
Lies Unspoken,4.03
Z,3.63
Dangerous Visions,4.19
Goddess of Spring,4.2
The Travels of Jaimie McPheeters,3.94
Maneater,3.66
"The Women of the Cousins' War: The Duchess, the Queen and the King's Mother",3.8
Green Witch,4.05
Shadowsong,3.58
"l8r, g8r",3.77
Driven,4.54
The Actor and the Housewife,3.14
A Court of Frost and Starlight,3.88
The Chevalier,4.17
"Lord of the White Hell, Book 1",4.04
Screwjack,3.58
The Boys of My Youth,4.09
The Insider,4.23
Doctor Who: The Stone Rose,3.92
The Book of the Book,4.57
Chaos,3.78
"Case Closed, Vol. 10",4.4
"The Bat (The Red Grouse Tales) - A coming of age story involving a search after truth, doubt and a bat!",4.36
Anything Goes,4.03
The Book of Basketball: The NBA According to The Sports Guy,4.18
The Robber Bride,3.82
Dr. Seuss's Sleep Book,4.17
True Blue,3.86
Sylvia's Lovers,3.74
The Lathe of Heaven,4.11
The Far Side Gallery 3,4.45
Knuffle Bunny: A Cautionary Tale,4.26
A Necessary Evil,4.12
The Far West,4.08
The Grace in Darkness,4.2
The Quiet Game,4.2
Cane River,4.06
Clear and Present Danger,4.11
Sisterhood of the Traveling Pants / Second Summer of the Sisterhood / Girls in Pants,4.03
Anyone But You,3.81
"Parallel Worlds: A Journey through Creation, Higher Dimensions, and the Future of the Cosmos",4.19
The Bernini Bust,3.63
Molesworth,4.27
The Quiet Room: A Journey Out of the Torment of Madness,4.04
Secret Santa,3.83
Tödliche Wahrheit: Die Vergangenheit holt dich ein. Kannst du sie ertragen? (Kelltin 2),5.0
Flights from the Lowlands,5.0
The Story of a New Name,4.39
The Courtesan,3.9
Photo Finish,3.85
The Evolution of Bruno Littlemore,3.58
Cities of the Plain,4.1
The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,3.69
The Stalker Chronicles,3.66
Hometown Girl Again,4.24
The Desperate,4.56
The Completeness of Celia Flynn,3.12
Incidents in the Life of a Slave Girl,4.13
Portrait in Sepia,3.96
The Naked God,4.21
The Perfect First,4.04
Blameless,4.0
Paint the Wind,4.3
Frozen Fire,3.62
Swamplandia!,3.27
Programming Perl,4.05
The Book of the Gods: 600 Gods from 20 Pantheons Explained,3.94
The Red Tent,4.18
Goddess of the Rose,4.14
The Accidental Hero,3.55
The Enormous Room,3.74
The Adoration of Jenna Fox,3.69
The Madness Underneath,3.87
The Mismeasure of Man,4.05
Helium,4.36
Hulk: Gray,3.77
The New Bill James Historical Baseball Abstract,4.25
The Squire's Tale,3.99
Chickenhawk,4.29
Southern Roots,4.07
Mort: The Play,4.29
The Savior,4.44
The Beautiful American,3.83
Monday Mourning,4.03
The Grace of Kings,3.73
Lady of the English,4.05
In the Lion's Mouth,3.88
Double Trouble,4.21
The Heart Mender: A Story of Second Chances,4.27
Pioneer Girl: The Annotated Autobiography,4.09
Somewhere I'll Find You,3.77
The Seahorse Legacy,4.64
When the Music's Over,4.05
"Naturally, Charlie",4.04
After Forever Ends,4.04
Temper,3.32
The Female Brain,3.83
The House at the Edge of Night,3.95
Love's Unending Legacy,4.25
Dangerous Minds,3.92
How Amazing,4.0
Forty Autumns: A Family's Story of Courage and Survival on Both Sides of the Berlin Wall,4.35
Hidden Away,4.24
"""There Are Things I Want You to Know"" about Stieg Larsson and Me",3.47
Annie's Song,4.19
Refiner's Fire,3.98
Dare to Dream,4.33
The Meq,3.7
"Maximum Ride, Vol. 4",4.39
"Dark Guardian (Dark Guardian, #1)",4.2
James Herriot's Dog Stories,4.4
"The Infinity Puzzle: How the Quest to Understand Quantum Field Theory Led to Extraordinary Science, High Politics, and the World's Most Expensive Experiment",4.04
Johnny Tremain,3.64
Retread Shop,3.78
Witch's Reflection (The Young and The Powerful Book 1),4.26
Existence,3.94
Finding Forgiveness,3.8
Breathless,3.49
The Blemished,3.62
Undone,4.22
"Bone, Vol. 2: The Great Cow Race",4.28
Ptolemy's Gate,4.26
"Amos Fortune, Free Man",3.88
Mrs. Jeffries Pleads Her Case,3.99
Grandpa's Great Escape,4.34
The Road from Coorain,4.05
"Define ""Normal""",3.81
"Cesar's Way: The Natural, Everyday Guide to Understanding and Correcting Common Dog Problems",3.74
Take Two,4.23
Scrivener's Moon,3.98
Helen's Babies,3.75
The Sorcerer of the North,4.27
"Chi's Sweet Home, Volume 12",4.56
On Becoming a Person: A Therapist's View of Psychotherapy,4.15
The Difference a Day Makes,4.14
Poems to Live Your Life By,4.11
When Women Were Birds: Fifty-Four Variations on Voice,4.17
Go Forward with Faith: The Biography of Gordon B. Hinckley,4.56
"Jim Morrison: Life, Death, Legend",4.11
