title,rating,tokens
A Nearly Normal Family,3.82,A Nearly Normal Family
Right From Wrong,3.85,Right From Wrong
The Run of His Life: The People v. O.J. Simpson,4.22,The Run of His Life: The People v. O.J. Simpson
The Crab-Flower Club,4.34,The Crab-Flower Club
Comeback: A Mother and Daughter's Journey Through Hell and Back,3.97,Comeback: A Mother and Daughter's Journey Through Hell and Back
Behind the Scenes at the Museum,3.96,Behind the Scenes at the Museum
Protect the Prince,4.11,Protect the Prince
Jennings' Little Hut,4.03,Jennings' Little Hut
Hegel's Phenomenology of Spirit,3.94,Hegel's Phenomenology of Spirit
Who Is Michelle Obama?,4.26,Who Is Michelle Obama?
"Dark Confessions of an Extraordinary, Ordinary Woman",4.44,"Dark Confessions of an Extraordinary, Ordinary Woman"
The Great Fires,4.34,The Great Fires
The Final Piece,4.0,The Final Piece
More Than a Carpenter,4.23,More Than a Carpenter
Dear Mr. Henshaw,3.75,Dear Mr. Henshaw
Blindfold Game,3.72,Blindfold Game
The Shadow of the Bear,4.14,The Shadow of the Bear
The Librarian,3.94,The Librarian
The Comforters,3.67,The Comforters
A Period of Juvenile Prosperity,4.48,A Period of Juvenile Prosperity
The Perfect Couple,3.95,The Perfect Couple
The Queen's Fool,3.86,The Queen's Fool
Diana Princess of Wales,4.25,Diana Princess of Wales
When The Legends Die,3.65,When The Legends Die
The Mill on the Floss,3.8,The Mill on the Floss
Mateguas Island: A Novel of Horror and Suspense,3.86,Mateguas Island: A Novel of Horror and Suspense
A Man for All Seasons,3.92,A Man for All Seasons
Adventures of Superboy Vol. 1,3.71,Adventures of Superboy Vol. 1
Brat Pack,3.67,Brat Pack
The Wanderer,4.26,The Wanderer
House Rules,4.18,House Rules
Running in Heels,3.54,Running in Heels
Pearl Jam Twenty,4.58,Pearl Jam Twenty
The Four Legendary Kingdoms,4.3,The Four Legendary Kingdoms
Akiko: Flights of Fancy,4.1,Akiko: Flights of Fancy
Magic America,3.81,Magic America
"Love, in Spanish",4.15,"Love, in Spanish"
The Summons,3.7,The Summons
The Year of Disappearances,3.59,The Year of Disappearances
Undead and Unwelcome,3.77,Undead and Unwelcome
Remembering the Good Times,3.75,Remembering the Good Times
Allah is Not Obliged,3.68,Allah is Not Obliged
Resolving Dalton Jones,4.5,Resolving Dalton Jones
Little Orphant Annie and Other Poems,3.97,Little Orphant Annie and Other Poems
Burning Dawn,4.31,Burning Dawn
Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls (and Everything in Between),3.96,Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls (and Everything in Between)
The Hob's Bargain,3.98,The Hob's Bargain
Bernice Gets Carried Away,4.13,Bernice Gets Carried Away
The Little Book of Demons: The Positive Advantages of the Personification of Life's Problems,4.19,The Little Book of Demons: The Positive Advantages of the Personification of Life's Problems
Silver Shadows,4.35,Silver Shadows
Intimacy: Trusting Oneself and the Other,4.15,Intimacy: Trusting Oneself and the Other
Outcast,4.27,Outcast
"Unweaving the Rainbow: Science, Delusion and the Appetite for Wonder",4.02,"Unweaving the Rainbow: Science, Delusion and the Appetite for Wonder"
The Last Color,4.0,The Last Color
You Can't Hide,4.3,You Can't Hide
The 13th Apostle,4.43,The 13th Apostle
Love Is Mortal,3.89,Love Is Mortal
The Fat Woman Next Door Is Pregnant,3.72,The Fat Woman Next Door Is Pregnant
Motor Mouth,3.68,Motor Mouth
The Nickel Boys,4.27,The Nickel Boys
Mary Queen of Scots,4.01,Mary Queen of Scots
Standing in Another Man's Grave,4.06,Standing in Another Man's Grave
NCAA Eligibility: Student-Athletes with Education-Impacting Disabilities,5.0,NCAA Eligibility: Student-Athletes with Education-Impacting Disabilities
The Year Nick McGowan Came to Stay,3.65,The Year Nick McGowan Came to Stay
Rosie the Honey Bear Fairy,3.95,Rosie the Honey Bear Fairy
Alec Forbes and His Friend Annie,4.51,Alec Forbes and His Friend Annie
Finding Sky,4.08,Finding Sky
See You at the Top,4.27,See You at the Top
Fablehaven,4.09,Fablehaven
Things That Are,3.77,Things That Are
Cat O' Nine Tales: And Other Stories,3.71,Cat O' Nine Tales: And Other Stories
If We Were Villains,4.1,If We Were Villains
Once Upon a Marigold,3.99,Once Upon a Marigold
Yellowfang's Secret,4.52,Yellowfang's Secret
A Perfect Darkness,3.61,A Perfect Darkness
The Hatbox Letters,3.11,The Hatbox Letters
The Adventurers Guild,4.11,The Adventurers Guild
Family Matters,4.02,Family Matters
Werewolf Descent,4.26,Werewolf Descent
Ethics for the New Millennium,4.03,Ethics for the New Millennium
The God Eaters,4.1,The God Eaters
The Last Innocent Hour,4.16,The Last Innocent Hour
Wagon Trail,3.76,Wagon Trail
"Lean In: Women, Work, and the Will to Lead",3.95,"Lean In: Women, Work, and the Will to Lead"
Afterworlds,3.73,Afterworlds
A History of the World in 6 Glasses,3.77,A History of the World in 6 Glasses
Roses and Thorns: Beauty and the Beast Retold,3.88,Roses and Thorns: Beauty and the Beast Retold
Amish Christmas Joy,4.3,Amish Christmas Joy
The Target,4.08,The Target
Five Have a Mystery to Solve,3.93,Five Have a Mystery to Solve
No Shortcuts to the Top: Climbing the World's 14 Highest Peaks,4.09,No Shortcuts to the Top: Climbing the World's 14 Highest Peaks
Dare Me,3.22,Dare Me
The Aylesford Skull,3.58,The Aylesford Skull
Music for Chameleons,4.08,Music for Chameleons
Natural Born Charmer,4.15,Natural Born Charmer
Rainbow Drive,3.52,Rainbow Drive
Shadows of the Inferno,4.57,Shadows of the Inferno
All Things Cease to Appear,3.71,All Things Cease to Appear
The Black Tattoo,3.49,The Black Tattoo
This Bridge Called My Back: Writings by Radical Women of Color,4.49,This Bridge Called My Back: Writings by Radical Women of Color
"Filthy English: The How, Why, When and What of Everyday Swearing",3.51,"Filthy English: The How, Why, When and What of Everyday Swearing"
Warrior's Valor,4.11,Warrior's Valor
The Vanishing Sculptor,3.94,The Vanishing Sculptor
Edgar Cayce: An American Prophet,4.33,Edgar Cayce: An American Prophet
The Nether World,3.85,The Nether World
Hasidism: Between Ecstasy and Magic,4.15,Hasidism: Between Ecstasy and Magic
The Last Testament of Oscar Wilde,3.83,The Last Testament of Oscar Wilde
We Animals,4.83,We Animals
Finn Family Moomintroll,4.3,Finn Family Moomintroll
The Junction Boys: How 10 Days in Hell with Bear Bryant Forged a Champion Team,4.21,The Junction Boys: How 10 Days in Hell with Bear Bryant Forged a Champion Team
Essays and Aphorisms,4.17,Essays and Aphorisms
Blood Eagle,3.77,Blood Eagle
Cast in Silence,4.21,Cast in Silence
To Each His Own,3.86,To Each His Own
"The Civil War, Vol. 2: Fredericksburg to Meridian",4.53,"The Civil War, Vol. 2: Fredericksburg to Meridian"
"Generation Kill: Devil Dogs, Iceman, Captain America, and the New Face of American War",4.27,"Generation Kill: Devil Dogs, Iceman, Captain America, and the New Face of American War"
One Tuesday Morning / Beyond Tuesday Morning,4.56,One Tuesday Morning / Beyond Tuesday Morning
American Gun: A History of the U.S. in Ten Firearms,4.02,American Gun: A History of the U.S. in Ten Firearms
The Women in the Castle,3.85,The Women in the Castle
The Cop Next Door,3.35,The Cop Next Door
Vietnam: A History,4.15,Vietnam: A History
Led by Faith: Rising from the Ashes of the Rwandan Genocide,4.42,Led by Faith: Rising from the Ashes of the Rwandan Genocide
Intruder in the Dust,3.76,Intruder in the Dust
Civilization and Its Discontents,3.79,Civilization and Its Discontents
Business Adventures,3.82,Business Adventures
Accidentally Dead,3.86,Accidentally Dead
Dark Blue: Color Me Lonely,3.68,Dark Blue: Color Me Lonely
Beauty,3.94,Beauty
Our Chances Were Zero: The Daring Escape by Two German Pow's from India in 1942,4.16,Our Chances Were Zero: The Daring Escape by Two German Pow's from India in 1942
Night of the Crabs,3.35,Night of the Crabs
8: The Previously Untold Story of the Previously Unknown 8th Dwarf,4.12,8: The Previously Untold Story of the Previously Unknown 8th Dwarf
The Photographer,4.27,The Photographer
Elijah of Buxton,3.93,Elijah of Buxton
Starship Troopers,4.0,Starship Troopers
Hollywood Wives,3.77,Hollywood Wives
300,3.95,300
"Deathless (Leningrad Diptych, #1)",4.0,"Deathless (Leningrad Diptych, #1)"
Shakespeare's Counselor,3.91,Shakespeare's Counselor
How We Fight For Our Lives,4.28,How We Fight For Our Lives
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,4.39,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us
Secret of the Crystal,3.85,Secret of the Crystal
A Texas-Made Match,4.11,A Texas-Made Match
The Land: Founding,4.06,The Land: Founding
Oliver's Hunger,4.09,Oliver's Hunger
The True Face Of God,3.82,The True Face Of God
Amani's River,4.27,Amani's River
Elementals: Stories of Fire and Ice,3.87,Elementals: Stories of Fire and Ice
The Party,3.88,The Party
Usher's Passing,3.92,Usher's Passing
"Owly, Vol. 4: A Time to Be Brave",4.18,"Owly, Vol. 4: A Time to Be Brave"
Betsy and the Great World,4.14,Betsy and the Great World
A Break with Charity: A Story about the Salem Witch Trials,3.8,A Break with Charity: A Story about the Salem Witch Trials
Ausl�nder,4.83,Ausl�nder
Order of the Seers,3.99,Order of the Seers
Vengeance,3.76,Vengeance
Obsession Mine,4.27,Obsession Mine
Lois & Clark: A Superman Novel,3.18,Lois & Clark: A Superman Novel
White Lilies,4.41,White Lilies
Flying High,4.08,Flying High
Imperial Woman,4.05,Imperial Woman
"NIV Study Bible, Personal Size",4.74,"NIV Study Bible, Personal Size"
Divided in Death,4.34,Divided in Death
I Wanna Be Your Joey Ramone,3.61,I Wanna Be Your Joey Ramone
The Magic of Finkleton,3.65,The Magic of Finkleton
Key of Valor,4.12,Key of Valor
The Goblin Wood,3.94,The Goblin Wood
To Catch a Bad Guy,3.54,To Catch a Bad Guy
Wolfsbane and Mistletoe,3.74,Wolfsbane and Mistletoe
Come Sundown,4.11,Come Sundown
Temple,4.06,Temple
Turtle in Paradise,3.94,Turtle in Paradise
The Wake,4.52,The Wake
The Vampire Book: The Encyclopedia Of The Undead,3.92,The Vampire Book: The Encyclopedia Of The Undead
Cold Shot,4.23,Cold Shot
Light in the Shadows,4.22,Light in the Shadows
Don't Bet against Me!: Beating the Odds Against Breast Cancer and in Life,3.65,Don't Bet against Me!: Beating the Odds Against Breast Cancer and in Life
"Death Note: L, Change the WorLd",4.24,"Death Note: L, Change the WorLd"
The Sacrifice,4.01,The Sacrifice
Boaz Brown,4.23,Boaz Brown
Shadows Of The Midnight Sun,4.17,Shadows Of The Midnight Sun
The Other Side of the Mountain: The Story of Jill Kinmont,3.9,The Other Side of the Mountain: The Story of Jill Kinmont
Style,3.67,Style
A Hundred and One Reasons,4.3,A Hundred and One Reasons
How Can I Talk If My Lips Don't Move: Inside My Autistic Mind,3.97,How Can I Talk If My Lips Don't Move: Inside My Autistic Mind
Greegs & Ladders,3.06,Greegs & Ladders
The Tripods Trilogy,4.19,The Tripods Trilogy
The Lovely Bones,3.82,The Lovely Bones
Marie Antoinette: The Journey,3.93,Marie Antoinette: The Journey
The Oracle of Stamboul,3.5,The Oracle of Stamboul
Baby Mine,4.15,Baby Mine
Scat,3.95,Scat
Stronghold,4.03,Stronghold
Emerald,3.95,Emerald
Conversations in Sicily,3.72,Conversations in Sicily
The Witch of Salt and Storm,3.51,The Witch of Salt and Storm
A Death in Vienna,4.21,A Death in Vienna
Romance or the End,3.92,Romance or the End
The Blackstone Chronicles: The Serial Thriller Complete in One Volume,4.11,The Blackstone Chronicles: The Serial Thriller Complete in One Volume
The Confessor,4.15,The Confessor
Angelfire,3.93,Angelfire
Beyond the Chocolate War,3.6,Beyond the Chocolate War
A Feast for Crows,4.14,A Feast for Crows
Happily Never After,4.06,Happily Never After
"Hot, Sexy & Bad: A Holiday Novella Collection",4.22,"Hot, Sexy & Bad: A Holiday Novella Collection"
Glass Sword,3.88,Glass Sword
A Monster Calls,4.35,A Monster Calls
Night Journey,4.45,Night Journey
One Long Embrace,4.01,One Long Embrace
A Midsummer's Equation,3.9,A Midsummer's Equation
The Fiery Heart,4.34,The Fiery Heart
Carol,3.97,Carol
100 Selected Stories,4.09,100 Selected Stories
Killing Me Softly,3.66,Killing Me Softly
Concept's Forever,5.0,Concept's Forever
Arrogant Devil,4.22,Arrogant Devil
Wondrous Strange,3.69,Wondrous Strange
The Robin & The Kestrel,3.89,The Robin & The Kestrel
"Plutopia: Nuclear Families, Atomic Cities, and the Great Soviet and American Plutonium Disasters",4.18,"Plutopia: Nuclear Families, Atomic Cities, and the Great Soviet and American Plutonium Disasters"
"The Legend of Korra: Turf Wars, Part One",4.31,"The Legend of Korra: Turf Wars, Part One"
The Ferrymen,4.17,The Ferrymen
Rome's Executioner,4.17,Rome's Executioner
Bed of Nails,3.26,Bed of Nails
Beyond the Veil,4.5,Beyond the Veil
Goblin Market and Other Poems,4.07,Goblin Market and Other Poems
"Emile, or On Education",3.63,"Emile, or On Education"
Beneath the Skin,3.77,Beneath the Skin
At Day's Close: Night in Times Past,3.68,At Day's Close: Night in Times Past
Dark Challenge,4.25,Dark Challenge
A Lady's Life in the Rocky Mountains,3.96,A Lady's Life in the Rocky Mountains
The Mustard Seed: The Gnostic Teachings of Jesus The Mystic,4.45,The Mustard Seed: The Gnostic Teachings of Jesus The Mystic
The Stranger's Child,3.32,The Stranger's Child
What He Must Be …If He Wants to Marry My Daughter,4.24,What He Must Be …If He Wants to Marry My Daughter
The Last Time I Was Me,4.07,The Last Time I Was Me
I Escaped from Auschwitz,4.42,I Escaped from Auschwitz
Miss Peregrine's Home for Peculiar Children,3.91,Miss Peregrine's Home for Peculiar Children
Streams of Silver,4.16,Streams of Silver
Okay for Now,4.21,Okay for Now
Blacksad,4.23,Blacksad
Make Me,3.98,Make Me
The Mystical Experience in Abraham Abulafia,4.45,The Mystical Experience in Abraham Abulafia
Bond of Blood,3.45,Bond of Blood
Whisper To The Blood,4.18,Whisper To The Blood
Flight 232: A Story of Disaster and Survival,4.13,Flight 232: A Story of Disaster and Survival
Borderland,4.52,Borderland
"Girl Code: Unlocking the Secrets to Success, Sanity, and Happiness for the Female Entrepreneur",3.96,"Girl Code: Unlocking the Secrets to Success, Sanity, and Happiness for the Female Entrepreneur"
Angels in Leather,4.0,Angels in Leather
from partition to operation bluestar,3.47,from partition to operation bluestar
The Eagle & the Nightingales,3.89,The Eagle & the Nightingales
The Will to Power,4.05,The Will to Power
Final Friends Volume One,4.13,Final Friends Volume One
Lady Sophia's Lover,3.95,Lady Sophia's Lover
The Woman in White,3.99,The Woman in White
Amity & Sorrow,3.17,Amity & Sorrow
Flashman in the Great Game,4.35,Flashman in the Great Game
244 Days: A Life,4.32,244 Days: A Life
House on the Bridge: Ten Turbulent Years with Diego Rivera,4.5,House on the Bridge: Ten Turbulent Years with Diego Rivera
The Twelve Caesars,4.02,The Twelve Caesars
Womanthology: Heroic,3.81,Womanthology: Heroic
Emerging from Darkness,4.47,Emerging from Darkness
A Taste of India,4.32,A Taste of India
The High Window,4.07,The High Window
"The Great Psychotherapy Debate: Models, Methods and Findings",4.29,"The Great Psychotherapy Debate: Models, Methods and Findings"
Fifty Shades Freed,3.85,Fifty Shades Freed
Stendhal: The Red and the Black,4.02,Stendhal: The Red and the Black
Confessions of a Jane Austen Addict,3.18,Confessions of a Jane Austen Addict
The Deep,3.8,The Deep
Killing Yourself to Live: 85% of a True Story,3.81,Killing Yourself to Live: 85% of a True Story
Jack Glass,3.71,Jack Glass
The Charlemagne Pursuit,3.9,The Charlemagne Pursuit
In From the Cold,3.86,In From the Cold
The Secret of the Old Clock,3.99,The Secret of the Old Clock
An Act of Treachery,3.91,An Act of Treachery
Selected Poems,4.31,Selected Poems
"The Cardturner: A Novel about a King, a Queen, and a Joker",3.82,"The Cardturner: A Novel about a King, a Queen, and a Joker"
Rosemary and Rue,3.76,Rosemary and Rue
Billy Liar,3.73,Billy Liar
"Urdu Poetry: Urdu Poets, Muhammad Iqbal, Mehr Lal Soni Zia Fatehabadi, Mirza Ghalib, Bahadur Shah II, Waheed Akhtar, Amir Khusrow",3.88,"Urdu Poetry: Urdu Poets, Muhammad Iqbal, Mehr Lal Soni Zia Fatehabadi, Mirza Ghalib, Bahadur Shah II, Waheed Akhtar, Amir Khusrow"
101 Dalmatians,4.3,101 Dalmatians
Desperately Seeking Epic,4.33,Desperately Seeking Epic
"Birds, Beasts and Relatives",4.33,"Birds, Beasts and Relatives"
The Giant Under the Snow,3.59,The Giant Under the Snow
Hardpressed,4.26,Hardpressed
Death on the Installment Plan,4.22,Death on the Installment Plan
Beautiful Names of Allah,4.38,Beautiful Names of Allah
Juliet Immortal,3.53,Juliet Immortal
The Mask,3.79,The Mask
Red is Best,4.09,Red is Best
The Quiet,5.0,The Quiet
The Good Soldier,3.71,The Good Soldier
Le Grand Meaulnes,3.75,Le Grand Meaulnes
Secret Deceptions,4.45,Secret Deceptions
Chicken Soup for the Teenage Soul on Tough Stuff: Stories of Tough Times and Lessons Learned (Chicken Soup for the Soul),4.23,Chicken Soup for the Teenage Soul on Tough Stuff: Stories of Tough Times and Lessons Learned (Chicken Soup for the Soul)
The Family Fang,3.6,The Family Fang
Banished from Grace,3.57,Banished from Grace
Fräulein Else,3.86,Fräulein Else
Castles / The Lion's Lady,4.36,Castles / The Lion's Lady
Death In Paradise,3.93,Death In Paradise
The Space Between,3.81,The Space Between
Darkling,3.74,Darkling
Delicacy,3.7,Delicacy
House Rules,4.02,House Rules
The Red Hot Cajun,4.2,The Red Hot Cajun
Libriomancer,3.8,Libriomancer
A Black Moon Odyssey,4.2,A Black Moon Odyssey
The Man,4.07,The Man
Look Me in the Eye: My Life with Asperger's,3.91,Look Me in the Eye: My Life with Asperger's
God Created the Integers: The Mathematical Breakthroughs That Changed History,4.07,God Created the Integers: The Mathematical Breakthroughs That Changed History
The Conquest of the Incas,4.12,The Conquest of the Incas
The Lab,3.88,The Lab
Ramona Blue,3.93,Ramona Blue
Yellowstone Heart Song,4.11,Yellowstone Heart Song
"Gun, With Occasional Music",3.77,"Gun, With Occasional Music"
The Road of the Dead,3.81,The Road of the Dead
Roughing It,3.89,Roughing It
Colombiano,4.33,Colombiano
The Bonesetter's Daughter,3.98,The Bonesetter's Daughter
"Farewell, I'm Bound to Leave You",4.18,"Farewell, I'm Bound to Leave You"
Last Letters of Jacopo Ortis,3.46,Last Letters of Jacopo Ortis
Jessica the TV Star,3.48,Jessica the TV Star
Damaged 2,4.13,Damaged 2
Nothing Left to Lose,4.28,Nothing Left to Lose
A Fortunate Life,4.18,A Fortunate Life
The Takeover,4.59,The Takeover
Don't Make Me Beautiful,4.0,Don't Make Me Beautiful
The Bishop's Daughter,4.35,The Bishop's Daughter
Lost Boy Lost Girl,3.48,Lost Boy Lost Girl
Clouds Don't Pass,3.57,Clouds Don't Pass
Appaloosa Summer,4.24,Appaloosa Summer
"Love Finds You in Liberty, Indiana",4.3,"Love Finds You in Liberty, Indiana"
Where the Sidewalk Ends,4.3,Where the Sidewalk Ends
The Royal We,3.82,The Royal We
Reborn! Vol. 04: Bucking Bronco Arrives!,4.13,Reborn! Vol. 04: Bucking Bronco Arrives!
The Aeneid,3.84,The Aeneid
The Fist of God,4.04,The Fist of God
Captains and the Kings,4.13,Captains and the Kings
Not Without Laughter,4.2,Not Without Laughter
"That One Kid Who Freaked Out, Or Whatever",3.74,"That One Kid Who Freaked Out, Or Whatever"
God Made Everyone Beautiful,5.0,God Made Everyone Beautiful
Wolf Signs,3.6,Wolf Signs
"Enchanted, Inc.",3.84,"Enchanted, Inc."
Page,4.2,Page
Tiger's Destiny,4.39,Tiger's Destiny
"Owly, Vol. 2: Just a Little Blue",4.17,"Owly, Vol. 2: Just a Little Blue"
Pish Posh,3.8,Pish Posh
The Nightly News,3.86,The Nightly News
The Cat Who Had 60 Whiskers,3.43,The Cat Who Had 60 Whiskers
Marie Antoinette: The Portrait of an Average Woman,4.29,Marie Antoinette: The Portrait of an Average Woman
Complete Novels and Stories,4.27,Complete Novels and Stories
Stop the Train!,3.78,Stop the Train!
An Enemy at Green Knowe,4.06,An Enemy at Green Knowe
The Morning Star,3.6,The Morning Star
The Secret Self,3.82,The Secret Self
The Tale of the Body Thief,3.73,The Tale of the Body Thief
Youth in Revolt: The Journals of Nick Twisp,4.02,Youth in Revolt: The Journals of Nick Twisp
CivilWarLand in Bad Decline,4.22,CivilWarLand in Bad Decline
The Book of Merlyn,3.95,The Book of Merlyn
Mondays with My Old Pastor: Sometimes All We Need Is a Reminder from Someone Who Has Walked Before Us,4.44,Mondays with My Old Pastor: Sometimes All We Need Is a Reminder from Someone Who Has Walked Before Us
The Accidental Werewolf,3.67,The Accidental Werewolf
The Book of (Even More) Awesome,3.98,The Book of (Even More) Awesome
This Side of the Grave,4.27,This Side of the Grave
People of the Sea,4.18,People of the Sea
Cracker!: The Best Dog in Vietnam,4.26,Cracker!: The Best Dog in Vietnam
Shambling Towards Hiroshima,3.62,Shambling Towards Hiroshima
Non-Stop,3.87,Non-Stop
The Purpose Driven Life: What on Earth Am I Here for?,3.94,The Purpose Driven Life: What on Earth Am I Here for?
The Prisoner of Cell 25,4.22,The Prisoner of Cell 25
Button,4.59,Button
The Road Home,3.86,The Road Home
More Than Friends,3.72,More Than Friends
Sylvester and the Magic Pebble,4.14,Sylvester and the Magic Pebble
A Different Life,4.17,A Different Life
Falling Off the Face of the Earth,4.12,Falling Off the Face of the Earth
The Assassin's Curse,4.2,The Assassin's Curse
Furies of Calderon,4.11,Furies of Calderon
Living Deeply: The Art Science of Transformation in Everyday Life,3.99,Living Deeply: The Art Science of Transformation in Everyday Life
Hell at the Breech,4.05,Hell at the Breech
"Two Past Midnight: Secret Window, Secret Garden",3.94,"Two Past Midnight: Secret Window, Secret Garden"
One World Order,4.2,One World Order
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",4.17,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History"
Shadowbred,4.31,Shadowbred
The Willows,4.13,The Willows
Anasazi,4.19,Anasazi
Grayson Perry: Portrait of the Artist as a Young Girl,4.03,Grayson Perry: Portrait of the Artist as a Young Girl
Chasm,3.93,Chasm
Beachcombing for a Shipwrecked God,3.97,Beachcombing for a Shipwrecked God
Almost Perfect,3.85,Almost Perfect
"Never Do Anything, Ever",4.08,"Never Do Anything, Ever"
The Carpetbaggers,3.94,The Carpetbaggers
One for the Money,4.04,One for the Money
"3,096 Days",3.89,"3,096 Days"
One Day in the Life of Ivan Denisovich,3.95,One Day in the Life of Ivan Denisovich
None of the Above,3.87,None of the Above
Stake That,3.97,Stake That
Bronagh,4.04,Bronagh
High Tide in Tucson,4.05,High Tide in Tucson
High Windows,4.14,High Windows
"Hey, Kiddo",4.11,"Hey, Kiddo"
The Golden Gate,4.11,The Golden Gate
Love Lost Her Way,4.52,Love Lost Her Way
Unravel,3.96,Unravel
Headlight 4,5.0,Headlight 4
Bringing Nature Home: How Native Plants Sustain Wildlife in Our Gardens,4.44,Bringing Nature Home: How Native Plants Sustain Wildlife in Our Gardens
Starring Winston Egbert,3.45,Starring Winston Egbert
Secret Horse,3.76,Secret Horse
The Shack,3.78,The Shack
Fairest,3.98,Fairest
Waiting for the Wild Beasts to Vote,3.89,Waiting for the Wild Beasts to Vote
The Importance of Being Earnest and Other Plays,4.25,The Importance of Being Earnest and Other Plays
"The Empath, the Warrior & the Wind Rider",4.67,"The Empath, the Warrior & the Wind Rider"
Leave the Light On: A Memoir of Recovery and Self-Discovery,3.97,Leave the Light On: A Memoir of Recovery and Self-Discovery
The Toll-Gate,3.92,The Toll-Gate
Celia Garth,4.11,Celia Garth
A Maggot,3.57,A Maggot
The Crucible,3.59,The Crucible
Sister Carrie,3.75,Sister Carrie
It's Not Easy Being Green: And Other Things to Consider,4.21,It's Not Easy Being Green: And Other Things to Consider
Amsterdam,3.43,Amsterdam
The Future of Freedom: Illiberal Democracy at Home and Abroad,4.02,The Future of Freedom: Illiberal Democracy at Home and Abroad
Djinn,4.11,Djinn
Warrior's Cross,3.96,Warrior's Cross
"We Goddesses: Athena, Aphrodite, Hera",4.16,"We Goddesses: Athena, Aphrodite, Hera"
Worst Impressions,3.54,Worst Impressions
Slashback,4.2,Slashback
Opposite Similarities,4.2,Opposite Similarities
The Prodigal God: Recovering the Heart of the Christian Faith,4.39,The Prodigal God: Recovering the Heart of the Christian Faith
Room on the Broom,4.43,Room on the Broom
Empty Promises and Other True Cases,3.97,Empty Promises and Other True Cases
Dizzy,3.74,Dizzy
Bloodfire Quest,4.04,Bloodfire Quest
Captive State: The Corporate Takeover of Britain,3.96,Captive State: The Corporate Takeover of Britain
Special Delivery,3.63,Special Delivery
The River King,3.71,The River King
Where Pain Thrives,4.06,Where Pain Thrives
Marius the Epicurean,3.59,Marius the Epicurean
Wild Designs,3.85,Wild Designs
How the Dead Live,3.59,How the Dead Live
A Fair Barbarian,3.51,A Fair Barbarian
How to Plant a Body,4.25,How to Plant a Body
Lydia,4.4,Lydia
The One That Got Away,3.75,The One That Got Away
The Historian,3.79,The Historian
Autumn Rose,3.82,Autumn Rose
Uncle Dynamite,4.3,Uncle Dynamite
Random Acts,3.47,Random Acts
The Contortionist's Handbook,3.93,The Contortionist's Handbook
Unmasked,4.39,Unmasked
Dangerous to Know,3.73,Dangerous to Know
Thomas' Snowsuit,4.09,Thomas' Snowsuit
Introvert Power: Why Your Inner Life Is Your Hidden Strength,3.93,Introvert Power: Why Your Inner Life Is Your Hidden Strength
HIDDEN MICKEY: Sometimes Dead Men DO Tell Tales!,4.05,HIDDEN MICKEY: Sometimes Dead Men DO Tell Tales!
Rule No. 5: No Sex on the Bus: Confessions of a Tour Leader,3.88,Rule No. 5: No Sex on the Bus: Confessions of a Tour Leader
Justice: What's the Right Thing to Do?,4.3,Justice: What's the Right Thing to Do?
Dragonswood,3.9,Dragonswood
All the Ugly and Wonderful Things,4.05,All the Ugly and Wonderful Things
Don't You Forget About Me,3.84,Don't You Forget About Me
Clockwork,3.87,Clockwork
The House of Silk,3.98,The House of Silk
The Broken Girls,4.04,The Broken Girls
Southern Storm,4.26,Southern Storm
The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life,3.88,The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life
Suitable for Hanging,4.88,Suitable for Hanging
Shadow Child,3.33,Shadow Child
Falling Angel,3.92,Falling Angel
Maggie,4.28,Maggie
A Book of Spirits and Thieves,3.94,A Book of Spirits and Thieves
Demon's Captive,3.41,Demon's Captive
Ava's Man,4.24,Ava's Man
Treasure,3.94,Treasure
Rationality: From AI to Zombies,4.36,Rationality: From AI to Zombies
A Frolic of His Own,3.84,A Frolic of His Own
Hidden Prey,3.89,Hidden Prey
"Dispatches From The Edge: A Memoir of War, Disasters, and Survival",3.96,"Dispatches From The Edge: A Memoir of War, Disasters, and Survival"
The Complete Western Stories of Elmore Leonard,4.09,The Complete Western Stories of Elmore Leonard
Love Minus Eighty,3.81,Love Minus Eighty
The Hidden,4.14,The Hidden
Arrow's Fall,4.19,Arrow's Fall
Catch a Falling Star,3.86,Catch a Falling Star
Star Wars: Rogue Planet,3.41,Star Wars: Rogue Planet
Go Ask Alice,3.76,Go Ask Alice
The Infernal Devices: Clockwork Princess,4.46,The Infernal Devices: Clockwork Princess
Sojourn,4.19,Sojourn
Social Intelligence: The New Science of Human Relationships,3.99,Social Intelligence: The New Science of Human Relationships
Saving Grace,4.25,Saving Grace
Pointe,3.76,Pointe
The Gold-Bug and Other Tales,3.97,The Gold-Bug and Other Tales
Redemption Ark,4.15,Redemption Ark
The Marbled Swarm,3.27,The Marbled Swarm
The Shadow of the Wind,4.27,The Shadow of the Wind
Peer Gynt,3.73,Peer Gynt
Crashing Down to Earth,4.33,Crashing Down to Earth
